Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
86,-15.0,49,0.2,0F827480E13190E00F4C25A01ECE6F20F13165E0,0F827480,E13190E0,0F4C25A0,1ECE6F20,F13165E0,260207744,3778121952,256648608,516845344,4046546400
87,-15.0,50,0.2,0F813EA0E13483A00F4A69A01ECB7C60F13457C0,0F813EA0,E13483A0,0F4A69A0,1ECB7C60,F13457C0,260128416,3778315168,256534944,516652128,4046739392
88,-15.0,50,0.2,0F8008F0E13775E00F48AE001EC88A20F1374910,0F8008F0,E13775E0,0F48AE00,1EC88A20,F1374910,260049136,3778508256,256421376,516459040,4046932240
89,-15.0,51,0.2,0F7E95A0E13AFE200F469A101EC501E0F13AD050,0F7E95A0,E13AFE20,0F469A10,1EC501E0,F13AD050,259954080,3778739744,256285200,516227552,4047163472
90,-15.0,52,0.2,0F7D6070E13DEF200F44DF201EC210E0F13DC070,0F7D6070,E13DEF20,0F44DF20,1EC210E0,F13DC070,259874928,3778932512,256171808,516034784,4047356016
91,-15.0,52,0.2,0F7BEDC0E14175E00F42CC101EBE8A20F1414630,0F7BEDC0,E14175E0,0F42CC10,1EBE8A20,F1414630,259780032,3779163616,256035856,515803680,4047586864
92,-15.0,53,0.2,0F7AB910E14465A00F4111E01EBB9A60F1443500,0F7AB910,E14465A0,0F4111E0,1EBB9A60,F1443500,259701008,3779356064,255922656,515611232,4047779072
93,-15.0,53,0.2,0F794700E147EB000F3EFFB01EB81500F147B950,0F794700,E147EB00,0F3EFFB0,1EB81500,F147B950,259606272,3779586816,255786928,515380480,4048009552
94,-15.0,54,0.2,0F77D540E14B6FA00F3CEE001EB49060F14B3CD0,0F77D540,E14B6FA0,0F3CEE00,1EB49060,F14B3CD0,259511616,3779817376,255651328,515149920,4048239824
95,-15.0,54,0.2,0F7663D0E14EF3600F3ADCC01EB10CA0F14EBF80,0F7663D0,E14EF360,0F3ADCC0,1EB10CA0,F14EBF80,259417040,3780047712,255515840,514919584,4048469888
96,-15.0,55,0.2,0F74F2B0E15276600F38CBF01EAD89A0F1524160,0F74F2B0,E1527660,0F38CBF0,1EAD89A0,F1524160,259322544,3780277856,255380464,514689440,4048699744
97,-15.0,56,0.2,0F73BF60E15563000F3713B01EAA9D00F1552CF0,0F73BF60,E1556300,0F3713B0,1EAA9D00,F1552CF0,259243872,3780469504,255267760,514497792,4048891120
98,-15.0,56,0.2,0F724EE0E158E4800F3503C01EA71B80F158AD60,0F724EE0,E158E480,0F3503C0,1EA71B80,F158AD60,259149536,3780699264,255132608,514268032,4049120608
99,-15.0,57,0.2,0F70A160E15CFAA00F329C801EA30560F15CC230,0F70A160,E15CFAA0,0F329C80,1EA30560,F15CC230,259039584,3780967072,254975104,514000224,4049388080
100,-15.0,57,0.2,0F6F3190E1607A800F308DA01E9F8580F16040E0,0F6F3190,E1607A80,0F308DA0,1E9F8580,F16040E0,258945424,3781196416,254840224,513770880,4049617120
101,-15.0,58,0.2,0F6DC220E163F9800F2E7F301E9C0680F163BEC0,0F6DC220,E163F980,0F2E7F30,1E9C0680,F163BEC0,258851360,3781425536,254705456,513541760,4049845952
102,-15.0,59,0.2,0F6C52F0E16777C00F2C71401E988840F1673BD0,0F6C52F0,E16777C0,0F2C7140,1E988840,F1673BD0,258757360,3781654464,254570816,513312832,4050074576
103,-15.0,59,0.2,0F6AE430E16AF5400F2A63C01E950AC0F16AB810,0F6AE430,E16AF540,0F2A63C0,1E950AC0,F16AB810,258663472,3781883200,254436288,513084096,4050302992
104,-15.0,60,0.2,0F6938A0E16F06C00F27FF501E90F940F16EC810,0F6938A0,E16F06C0,0F27FF50,1E90F940,F16EC810,258554016,3782149824,254279504,512817472,4050569232
105,-15.0,61,0.2,0F67CA90E17282800F25F2D01E8D7D80F17242A0,0F67CA90,E1728280,0F25F2D0,1E8D7D80,F17242A0,258460304,3782378112,254145232,512589184,4050797216
106,-15.0,61,0.2,0F661FD0E17691E00F238F801E896E20F17650A0,0F661FD0,E17691E0,0F238F80,1E896E20,F17650A0,258351056,3782644192,253988736,512323104,4051062944
107,-15.0,62,0.2,0F64B270E17A0C000F2184101E85F400F179C980,0F64B270,E17A0C00,0F218410,1E85F400,F179C980,258257520,3782872064,253854736,512095232,4051290496
108,-15.0,63,0.2,0F630890E17E19800F1F21F01E81E680F17DD580,0F630890,E17E1980,0F1F21F0,1E81E680,F17DD580,258148496,3783137664,253698544,511829632,4051555712
109,-15.0,63,0.2,0F615F20E18225E00F1CC0801E7DDA20F181E070,0F615F20,E18225E0,0F1CC080,1E7DDA20,F181E070,258039584,3783402976,253542528,511564320,4051820656
