Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
111,-15.0,65,1.01,0FDE82C0E051C2800FD006201FAE3D80F0517720,0FDE82C0,E051C280,0FD00620,1FAE3D80,F0517720,266240704,3763454592,265291296,531512704,4031870752
112,-15.0,65,1.01,0FDE3480E05282200FCF96101FAD7DE0F0523570,0FDE3480,E0528220,0FCF9610,1FAD7DE0,F0523570,266220672,3763503648,265262608,531463648,4031919472
113,-15.0,66,1.01,0FDDCC40E05381C00FCF00B01FAC7E40F0533310,0FDDCC40,E05381C0,0FCF00B0,1FAC7E40,F0533310,266193984,3763569088,265224368,531398208,4031984400
114,-15.0,67,1.01,0FDD7110E05461400FCE7E001FAB9EC0F05410F0,0FDD7110,E0546140,0FCE7E00,1FAB9EC0,F05410F0,266170640,3763626304,265190912,531340992,4032041200
115,-15.0,67,1.01,0FDD15D0E05540C00FCDFB601FAABF40F054EED0,0FDD15D0,E05540C0,0FCDFB60,1FAABF40,F054EED0,266147280,3763683520,265157472,531283776,4032098000
116,-15.0,68,1.01,0FDCBAB0E05620400FCD78C01FA9DFC0F055CCA0,0FDCBAB0,E0562040,0FCD78C0,1FA9DFC0,F055CCA0,266123952,3763740736,265124032,531226560,4032154784
117,-15.0,69,1.01,0FDC5F80E056FFC00FCCF6201FA90040F056AA60,0FDC5F80,E056FFC0,0FCCF620,1FA90040,F056AA60,266100608,3763797952,265090592,531169344,4032211552
118,-15.0,70,1.01,0FDBF750E057FF200FCC60F01FA800E0F057A7C0,0FDBF750,E057FF20,0FCC60F0,1FA800E0,F057A7C0,266073936,3763863328,265052400,531103968,4032276416
119,-15.0,70,1.01,0FDB9C40E058DE800FCBDE601FA72180F0588560,0FDB9C40,E058DE80,0FCBDE60,1FA72180,F0588560,266050624,3763920512,265018976,531046784,4032333152
120,-15.0,71,1.01,0FDB3420E059DDC00FCB49401FA62240F05982A0,0FDB3420,E059DDC0,0FCB4940,1FA62240,F05982A0,266023968,3763985856,264980800,530981440,4032397984
121,-15.0,72,1.01,0FDACC00E05ADD000FCAB4201FA52300F05A7FD0,0FDACC00,E05ADD00,0FCAB420,1FA52300,F05A7FD0,265997312,3764051200,264942624,530916096,4032462800
122,-15.0,73,1.01,0FDA7100E05BBC400FCA31B01FA443C0F05B5D50,0FDA7100,E05BBC40,0FCA31B0,1FA443C0,F05B5D50,265974016,3764108352,264909232,530858944,4032519504
123,-15.0,73,1.01,0FDA08F0E05CBB600FC99CB01FA344A0F05C5A60,0FDA08F0,E05CBB60,0FC99CB0,1FA344A0,F05C5A60,265947376,3764173664,264871088,530793632,4032584288
124,-15.0,74,1.01,0FD9A0F0E05DBA800FC907B01FA24580F05D5770,0FD9A0F0,E05DBA80,0FC907B0,1FA24580,F05D5770,265920752,3764238976,264832944,530728320,4032649072
125,-15.0,75,1.01,0FD938F0E05EB9A00FC872B01FA14660F05E5460,0FD938F0,E05EB9A0,0FC872B0,1FA14660,F05E5460,265894128,3764304288,264794800,530663008,4032713824
126,-15.0,76,1.01,0FD8D100E05FB8A00FC7DDC01FA04760F05F5140,0FD8D100,E05FB8A0,0FC7DDC0,1FA04760,F05F5140,265867520,3764369568,264756672,530597728,4032778560
127,-15.0,77,1.01,0FD86910E060B7A00FC748E01F9F4860F0604E10,0FD86910,E060B7A0,0FC748E0,1F9F4860,F0604E10,265840912,3764434848,264718560,530532448,4032843280
128,-15.0,78,1.01,0FD7F420E061D6800FC6A1601F9E2980F0616A70,0FD7F420,E061D680,0FC6A160,1F9E2980,F0616A70,265810976,3764508288,264675680,530459008,4032916080
129,-15.0,78,1.01,0FD78C40E062D5600FC60C901F9D2AA0F0626720,0FD78C40,E062D560,0FC60C90,1F9D2AA0,F0626720,265784384,3764573536,264637584,530393760,4032980768
130,-15.0,79,1.01,0FD72470E063D4400FC577D01F9C2BC0F06363C0,0FD72470,E063D440,0FC577D0,1F9C2BC0,F06363C0,265757808,3764638784,264599504,530328512,4033045440
